1401.12.25 = {
  chinaware = 6.8
  cloth = 12.8
  coffee = 9.4
  copper = 10.9
  cotton = 5.8
  fish = 9.7
  fur = 14.2
  gold = 40
  grain = 3.0
  iron = 13.3
  ivory = 4.6
  naval_supplies = 5.3
  salt = 15.0
  slaves = 5.0
  spices = 5.8
  sugar = 6.3
  tea = 4.7
  tobacco = 9.7
  wine = 15.3
  wool = 4.9
}
1423.5.30 = {
  chinaware = 11.4
  cloth = 15.7
  coffee = 16.0
  copper = 12.3
  cotton = 9.9
  fish = 9.3
  fur = 15.7
  gold = 40
  grain = 3.5
  iron = 15.2
  ivory = 7.6
  naval_supplies = 5.3
  salt = 16.0
  slaves = 5.3
  spices = 9.7
  sugar = 10.8
  tea = 8.0
  tobacco = 16.8
  wine = 15.5
  wool = 6.0
}
1443.1.1 = {
  chinaware = 14.6
  cloth = 17.4
  coffee = 22.8
  copper = 25.0
  cotton = 13.8
  fish = 11.0
  fur = 4.9
  gold = 40
  grain = 3.5
  iron = 33.6
  ivory = 9.8
  naval_supplies = 5.2
  salt = 16.6
  slaves = 10.7
  spices = 12.1
  sugar = 15.2
  tea = 10.1
  tobacco = 23.8
  wine = 16.9
  wool = 6.3
}
1471.6.16 = {
  chinaware = 24.4
  cloth = 14.0
  coffee = 36.0
  copper = 6.8
  cotton = 22.0
  fish = 9.7
  fur = 21.9
  gold = 40
  grain = 5.5
  iron = 8.8
  ivory = 16.0
  naval_supplies = 4.9
  salt = 16.2
  slaves = 13.5
  spices = 19.3
  sugar = 23.8
  tea = 17.1
  tobacco = 38.2
  wine = 16.5
  wool = 5.7
}
1491.10.4 = {
  chinaware = 25.1
  cloth = 17.1
  coffee = 37.0
  copper = 16.7
  cotton = 23.0
  fish = 9.5
  fur = 13.4
  gold = 40
  grain = 7.9
  iron = 20.4
  ivory = 16.1
  naval_supplies = 7.3
  salt = 18.2
  slaves = 18.4
  spices = 21.2
  sugar = 24.5
  tea = 17.5
  tobacco = 39.2
  wine = 17.9
  wool = 6.7
}
1514.5.25 = {
  chinaware = 31.0
  cloth = 16.8
  coffee = 47.5
  copper = 9.3
  cotton = 29.3
  fish = 9.3
  fur = 21.6
  gold = 40
  grain = 7.9
  iron = 11.2
  ivory = 20.0
  naval_supplies = 5.6
  salt = 19.1
  slaves = 18.4
  spices = 24.3
  sugar = 32.6
  tea = 21.8
  tobacco = 50.4
  wine = 17.9
  wool = 5.9
}
1532.5.17 = {
  chinaware = 30.3
  cloth = 17.8
  coffee = 46.7
  copper = 16.4
  cotton = 30.1
  fish = 9.2
  fur = 19.1
  gold = 40
  grain = 9.3
  iron = 18.2
  ivory = 18.9
  naval_supplies = 5.7
  salt = 22.6
  slaves = 18.3
  spices = 24.0
  sugar = 33.9
  tea = 20.9
  tobacco = 51.3
  wine = 18.4
  wool = 6.0
}
1545.1.2 = {
  chinaware = 31.0
  cloth = 19.4
  coffee = 45.3
  copper = 16.6
  cotton = 29.7
  fish = 11.7
  fur = 19.6
  gold = 40
  grain = 10.9
  iron = 16.9
  ivory = 18.8
  naval_supplies = 7.8
  salt = 23.7
  slaves = 18.1
  spices = 21.9
  sugar = 34.4
  tea = 20.7
  tobacco = 51.1
  wine = 18.9
